ministry_rank,org_code,ministry_or_organisation,registration_count,category_code,parent_category_code,stage,category_name,category_path,level_1_category,level_2_subcategory,level_3_subcategory,level_4_subcategory,level_5_subcategory,level_6_subcategory,level_7_subcategory,is_leaf_category,field_set_id,input_fields_for_ui,destination_routing_codes
1,MOLBR,Labour and Employment,11471,2174,2173,2,Cash Benefit,Cash Benefit,Cash Benefit,,,,,,,No,,,
1,MOLBR,Labour and Employment,11471,2175,2173,2,Medical Benefits,Medical Benefits,Medical Benefits,,,,,,,No,,,
1,MOLBR,Labour and Employment,11471,2176,2173,2,Medical Reimbursement,Medical Reimbursement,Medical Reimbursement,,,,,,,No,,,
1,MOLBR,Labour and Employment,11471,2177,2173,2,"Non-Coverage , Non-compliance, Under Reporting","Non-Coverage , Non-compliance, Under Reporting","Non-Coverage , Non-compliance, Under Reporting",,,,,,,No,,,
1,MOLBR,Labour and Employment,11471,2178,2173,2,Online System Related Issues,Online System Related Issues,Online System Related Issues,,,,,,,No,,,
1,MOLBR,Labour and Employment,11471,2179,2173,2,Recruitment,Recruitment,Recruitment,,,,,,,Yes,,,"MOLBR,PESIC,ESIRT"
1,MOLBR,Labour and Employment,11471,2180,2173,2,Service Matters,Service Matters,Service Matters,,,,,,,No,,,
1,MOLBR,Labour and Employment,11471,2181,2173,2,Suggestions (ESIC),Suggestions (ESIC),Suggestions (ESIC),,,,,,,No,,,
1,MOLBR,Labour and Employment,11471,2182,2173,2,Vigilance related,Vigilance related,Vigilance related,,,,,,,No,,,
1,MOLBR,Labour and Employment,11471,2183,2173,2,Others (ESIC),Others (ESIC),Others (ESIC),,,,,,,Yes,178,RO/ SRO/ Headquarters (required; Dropdown; AlNum),
1,MOLBR,Labour and Employment,11471,2184,2174,3,Sickness Benefit,Cash Benefit > Sickness Benefit,Cash Benefit,Sickness Benefit,,,,,,No,,,
1,MOLBR,Labour and Employment,11471,2185,2174,3,Maternity Benefit,Cash Benefit > Maternity Benefit,Cash Benefit,Maternity Benefit,,,,,,Yes,176,I.P No. (required; Textbox; AlNum); Name of B.O (required; Textbox; AlNum); Name of RO/ SRO (required; Dropdown; AlNum),
1,MOLBR,Labour and Employment,11471,2186,2174,3,Disablement benefit,Cash Benefit > Disablement benefit,Cash Benefit,Disablement benefit,,,,,,No,,,
1,MOLBR,Labour and Employment,11471,2187,2174,3,Dependants' Benefit,Cash Benefit > Dependants' Benefit,Cash Benefit,Dependants' Benefit,,,,,,Yes,176,I.P No. (required; Textbox; AlNum); Name of B.O (required; Textbox; AlNum); Name of RO/ SRO (required; Dropdown; AlNum),
1,MOLBR,Labour and Employment,11471,2188,2174,3,Unemployment Allowance,Cash Benefit > Unemployment Allowance,Cash Benefit,Unemployment Allowance,,,,,,No,,,
1,MOLBR,Labour and Employment,11471,2189,2174,3,Other Benefits,Cash Benefit > Other Benefits,Cash Benefit,Other Benefits,,,,,,No,,,
1,MOLBR,Labour and Employment,11471,2190,2184,4,Extended Sickness Benefit (ESB),Cash Benefit > Sickness Benefit > Extended Sickness Benefit (ESB),Cash Benefit,Sickness Benefit,Extended Sickness Benefit (ESB),,,,,Yes,176,I.P No. (required; Textbox; AlNum); Name of B.O (required; Textbox; AlNum); Name of RO/ SRO (required; Dropdown; AlNum),
1,MOLBR,Labour and Employment,11471,2191,2184,4,Enhanced Sickness Benefit,Cash Benefit > Sickness Benefit > Enhanced Sickness Benefit,Cash Benefit,Sickness Benefit,Enhanced Sickness Benefit,,,,,Yes,176,I.P No. (required; Textbox; AlNum); Name of B.O (required; Textbox; AlNum); Name of RO/ SRO (required; Dropdown; AlNum),
1,MOLBR,Labour and Employment,11471,2192,2186,4,Temporary disablement benefit (TDB),Cash Benefit > Disablement benefit > Temporary disablement benefit (TDB),Cash Benefit,Disablement benefit,Temporary disablement benefit (TDB),,,,,Yes,176,I.P No. (required; Textbox; AlNum); Name of B.O (required; Textbox; AlNum); Name of RO/ SRO (required; Dropdown; AlNum),
1,MOLBR,Labour and Employment,11471,2193,2186,4,Permanent disablement benefit (PDB),Cash Benefit > Disablement benefit > Permanent disablement benefit (PDB),Cash Benefit,Disablement benefit,Permanent disablement benefit (PDB),,,,,Yes,176,I.P No. (required; Textbox; AlNum); Name of B.O (required; Textbox; AlNum); Name of RO/ SRO (required; Dropdown; AlNum),
1,MOLBR,Labour and Employment,11471,2194,2188,4,Rajiv Gandhi Shramik Kalyan Yojana,Cash Benefit > Unemployment Allowance > Rajiv Gandhi Shramik Kalyan Yojana,Cash Benefit,Unemployment Allowance,Rajiv Gandhi Shramik Kalyan Yojana,,,,,Yes,176,I.P No. (required; Textbox; AlNum); Name of B.O (required; Textbox; AlNum); Name of RO/ SRO (required; Dropdown; AlNum),
1,MOLBR,Labour and Employment,11471,2195,2188,4,Atal Beemit Vyakti Kalyan Yojna (ABVKY),Cash Benefit > Unemployment Allowance > Atal Beemit Vyakti Kalyan Yojna (ABVKY),Cash Benefit,Unemployment Allowance,Atal Beemit Vyakti Kalyan Yojna (ABVKY),,,,,Yes,176,I.P No. (required; Textbox; AlNum); Name of B.O (required; Textbox; AlNum); Name of RO/ SRO (required; Dropdown; AlNum),
1,MOLBR,Labour and Employment,11471,2196,2189,4,Funeral Expenses,Cash Benefit > Other Benefits > Funeral Expenses,Cash Benefit,Other Benefits,Funeral Expenses,,,,,Yes,176,I.P No. (required; Textbox; AlNum); Name of B.O (required; Textbox; AlNum); Name of RO/ SRO (required; Dropdown; AlNum),
1,MOLBR,Labour and Employment,11471,2197,2189,4,Confinement Expenses,Cash Benefit > Other Benefits > Confinement Expenses,Cash Benefit,Other Benefits,Confinement Expenses,,,,,Yes,176,I.P No. (required; Textbox; AlNum); Name of B.O (required; Textbox; AlNum); Name of RO/ SRO (required; Dropdown; AlNum),
1,MOLBR,Labour and Employment,11471,2198,2175,3,Not providing Treatment,Medical Benefits > Not providing Treatment,Medical Benefits,Not providing Treatment,,,,,,Yes,177,I.P No. (required; Textbox; AlNum); Name of Hospital/ Dispensary (required; Textbox; AlNum),"MOLBR,PESIC,ESIMC"
1,MOLBR,Labour and Employment,11471,2199,2175,3,Not providing Medicine,Medical Benefits > Not providing Medicine,Medical Benefits,Not providing Medicine,,,,,,Yes,177,I.P No. (required; Textbox; AlNum); Name of Hospital/ Dispensary (required; Textbox; AlNum),"MOLBR,PESIC,ESIMC"
1,MOLBR,Labour and Employment,11471,2200,2175,3,Rude Behaviour of Dr. &Staff,Medical Benefits > Rude Behaviour of Dr. &Staff,Medical Benefits,Rude Behaviour of Dr. &Staff,,,,,,Yes,177,I.P No. (required; Textbox; AlNum); Name of Hospital/ Dispensary (required; Textbox; AlNum),"MOLBR,PESIC,ESIMC"
